event_date,year,type,total_events
2017-02-04,2017,PullRequestEvent,38377
2017-02-04,2017,PullRequestReviewCommentEvent,9770
2017-02-04,2017,PushEvent,404377
2017-02-04,2017,ReleaseEvent,2546
2017-02-04,2017,WatchEvent,69315
2017-02-05,2017,CommitCommentEvent,1863
2017-02-05,2017,CreateEvent,117039
2017-02-05,2017,DeleteEvent,18706
2017-02-05,2017,GollumEvent,5533
2017-02-05,2017,IssueCommentEvent,46069
2017-02-05,2017,IssuesEvent,25986
2017-02-05,2017,MemberEvent,3088
2017-02-05,2017,PublicEvent,866
2017-02-05,2017,PullRequestEvent,38735
2017-02-05,2017,PullRequestReviewCommentEvent,8940
2017-02-05,2017,PushEvent,426512
2017-02-05,2017,ReleaseEvent,2896
2017-02-05,2017,WatchEvent,63441
2017-02-06,2017,CommitCommentEvent,3106
2017-02-06,2017,CreateEvent,169047
2017-02-06,2017,DeleteEvent,27563
2017-02-06,2017,GollumEvent,7492
2017-02-06,2017,IssueCommentEvent,91667
2017-02-06,2017,IssuesEvent,44795
2017-02-06,2017,MemberEvent,6032
2017-02-06,2017,PublicEvent,1266
2017-02-06,2017,PullRequestEvent,64552
2017-02-06,2017,PullRequestReviewCommentEvent,24275
2017-02-06,2017,PushEvent,590517
2017-02-06,2017,ReleaseEvent,4039
2017-02-06,2017,WatchEvent,95984
2017-02-07,2017,CommitCommentEvent,3075
2017-02-07,2017,CreateEvent,178051
2017-02-07,2017,DeleteEvent,29786
2017-02-07,2017,GollumEvent,8619
2017-02-07,2017,IssueCommentEvent,100756
2017-02-07,2017,IssuesEvent,48520
2017-02-07,2017,MemberEvent,6877
2017-02-07,2017,PublicEvent,1254
2017-02-07,2017,PullRequestEvent,72096
2017-02-07,2017,PullRequestReviewCommentEvent,28197
2017-02-07,2017,PushEvent,632828
2017-02-07,2017,ReleaseEvent,4203
2017-02-07,2017,WatchEvent,102533
2017-02-08,2017,CommitCommentEvent,3311
2017-02-08,2017,CreateEvent,178425
2017-02-08,2017,DeleteEvent,28904
2017-02-08,2017,GollumEvent,8431
2017-02-08,2017,IssueCommentEvent,100929
2017-02-08,2017,IssuesEvent,53255
2017-02-08,2017,MemberEvent,7574
2017-02-08,2017,PublicEvent,1380
2017-02-08,2017,PullRequestEvent,71699
2017-02-08,2017,PullRequestReviewCommentEvent,27668
2017-02-08,2017,PushEvent,617357
2017-02-08,2017,ReleaseEvent,4951
2017-02-08,2017,WatchEvent,102251
2017-02-09,2017,CommitCommentEvent,2994
2017-02-09,2017,CreateEvent,175734
2017-02-09,2017,DeleteEvent,28471
2017-02-09,2017,GollumEvent,8602
2017-02-09,2017,IssueCommentEvent,100198
2017-02-09,2017,IssuesEvent,51781
2017-02-09,2017,MemberEvent,6756
2017-02-09,2017,PublicEvent,1231
2017-02-09,2017,PullRequestEvent,71563
2017-02-09,2017,PullRequestReviewCommentEvent,26820
2017-02-09,2017,PushEvent,624885
2017-02-09,2017,ReleaseEvent,4228
2017-02-09,2017,WatchEvent,101697
2017-02-10,2017,CommitCommentEvent,2968
2017-02-10,2017,CreateEvent,162055
2017-02-10,2017,DeleteEvent,26120
2017-02-10,2017,GollumEvent,7450
2017-02-10,2017,IssueCommentEvent,91131
2017-02-10,2017,IssuesEvent,45237
2017-02-10,2017,MemberEvent,5907
2017-02-10,2017,PublicEvent,1102
2017-02-10,2017,PullRequestEvent,66217
2017-02-10,2017,PullRequestReviewCommentEvent,23896
2017-02-10,2017,PushEvent,607309
2017-02-10,2017,ReleaseEvent,4146
2017-02-10,2017,WatchEvent,93500
2017-02-11,2017,CommitCommentEvent,1841
2017-02-11,2017,CreateEvent,112847
2017-02-11,2017,DeleteEvent,17706
2017-02-11,2017,GollumEvent,5147
2017-02-11,2017,IssueCommentEvent,48374
2017-02-11,2017,IssuesEvent,26670
2017-02-11,2017,MemberEvent,3835
